t,Sv0,Sg0,Sg1,Sg2,Sg3,Iv0,Ig0,Ig1,Ig2,Ig3,Rv0,Rg0,Rg1,Rg2,Rg3,cumIv0,cumIg0,cumIg1,cumIg2,cumIg3,cumIv, pIv,pIs,pIg
324,0.155387,0.0830859,0.0830859,0.0830859,0.0830859,0.000388491,0.00106547,0.00106547,0.00106547,0.00106547,0.0442243,0.115849,0.115849,0.115849,0.115849,0.0662002,0.159064,0.159064,0.159064,0.159064,0.0662002,0.00194245,nan,0.00532735
325,0.155475,0.0833098,0.0833098,0.0833098,0.0833098,0.000377095,0.00103615,0.00103615,0.00103615,0.00103615,0.0441479,0.115654,0.115654,0.115654,0.115654,0.0662335,0.159157,0.159157,0.159157,0.159157,0.0662335,0.00188548,nan,0.00518077
326,0.155563,0.0835354,0.0835354,0.0835354,0.0835354,0.000366107,0.00100788,0.00100788,0.00100788,0.00100788,0.0440704,0.115457,0.115457,0.115457,0.115457,0.0662659,0.159248,0.159248,0.159248,0.159248,0.0662659,0.00183053,nan,0.00503942
327,0.155653,0.0837627,0.0837627,0.0837627,0.0837627,0.000355511,0.000980618,0.000980618,0.000980618,0.000980618,0.0439919,0.115257,0.115257,0.115257,0.115257,0.0662974,0.159337,0.159337,0.159337,0.159337,0.0662974,0.00177756,nan,0.00490309
328,0.155742,0.0839916,0.0839916,0.0839916,0.0839916,0.000345294,0.00095432,0.00095432,0.00095432,0.00095432,0.0439124,0.115054,0.115054,0.115054,0.115054,0.066328,0.159423,0.159423,0.159423,0.159423,0.066328,0.00172647,nan,0.0047716
329,0.155833,0.084222,0.084222,0.084222,0.084222,0.000335441,0.000928953,0.000928953,0.000928953,0.000928953,0.0438319,0.114849,0.114849,0.114849,0.114849,0.0663579,0.159508,0.159508,0.159508,0.159508,0.0663579,0.0016772,nan,0.00464476
330,0.155924,0.0844539,0.0844539,0.0844539,0.0844539,0.000325939,0.00090448,0.00090448,0.00090448,0.00090448,0.0437505,0.114642,0.114642,0.114642,0.114642,0.066387,0.15959,0.15959,0.15959,0.15959,0.066387,0.00162969,nan,0.0045224
331,0.156015,0.0846871,0.0846871,0.0846871,0.0846871,0.000316775,0.000880868,0.000880868,0.000880868,0.000880868,0.0436682,0.114432,0.114432,0.114432,0.114432,0.0664153,0.159671,0.159671,0.159671,0.159671,0.0664153,0.00158387,nan,0.00440434
332,0.156107,0.0849217,0.0849217,0.0849217,0.0849217,0.000307936,0.000858083,0.000858083,0.000858083,0.000858083,0.0435852,0.11422,0.11422,0.11422,0.11422,0.0664429,0.159749,0.159749,0.159749,0.159749,0.0664429,0.00153968,nan,0.00429042
333,0.156199,0.0851575,0.0851575,0.0851575,0.0851575,0.000299411,0.000836096,0.000836096,0.000836096,0.000836096,0.0435013,0.114006,0.114006,0.114006,0.114006,0.0664698,0.159826,0.159826,0.159826,0.159826,0.0664698,0.00149705,nan,0.00418048
334,0.156292,0.0853944,0.0853944,0.0853944,0.0853944,0.000291188,0.000814875,0.000814875,0.000814875,0.000814875,0.0434167,0.113791,0.113791,0.113791,0.113791,0.0664961,0.159901,0.159901,0.159901,0.159901,0.0664961,0.00145594,nan,0.00407437
335,0.156385,0.0856325,0.0856325,0.0856325,0.0856325,0.000283255,0.000794391,0.000794391,0.000794391,0.000794391,0.0433314,0.113573,0.113573,0.113573,0.113573,0.0665216,0.159975,0.159975,0.159975,0.159975,0.0665216,0.00141627,nan,0.00397196
336,0.156479,0.0858716,0.0858716,0.0858716,0.0858716,0.000275602,0.000774617,0.000774617,0.000774617,0.000774617,0.0432454,0.113354,0.113354,0.113354,0.113354,0.0665466,0.160046,0.160046,0.160046,0.160046,0.0665466,0.00137801,nan,0.00387309
337,0.156573,0.0861117,0.0861117,0.0861117,0.0861117,0.000268218,0.000755526,0.000755526,0.000755526,0.000755526,0.0431587,0.113133,0.113133,0.113133,0.113133,0.0665709,0.160117,0.160117,0.160117,0.160117,0.0665709,0.00134109,nan,0.00377763
338,0.156667,0.0863527,0.0863527,0.0863527,0.0863527,0.000261094,0.000737092,0.000737092,0.000737092,0.000737092,0.0430715,0.11291,0.11291,0.11291,0.11291,0.0665947,0.160185,0.160185,0.160185,0.160185,0.0665947,0.00130547,nan,0.00368546
339,0.156762,0.0865945,0.0865945,0.0865945,0.0865945,0.00025422,0.000719291,0.000719291,0.000719291,0.000719291,0.0429837,0.112686,0.112686,0.112686,0.112686,0.0666179,0.160252,0.160252,0.160252,0.160252,0.0666179,0.0012711,nan,0.00359646
340,0.156857,0.0868372,0.0868372,0.0868372,0.0868372,0.000247586,0.000702099,0.000702099,0.000702099,0.000702099,0.0428953,0.112461,0.112461,0.112461,0.112461,0.0666405,0.160318,0.160318,0.160318,0.160318,0.0666405,0.00123793,nan,0.0035105
341,0.156952,0.0870807,0.0870807,0.0870807,0.0870807,0.000241184,0.000685494,0.000685494,0.000685494,0.000685494,0.0428064,0.112234,0.112234,0.112234,0.112234,0.0666626,0.160383,0.160383,0.160383,0.160383,0.0666626,0.00120592,nan,0.00342747
342,0.157048,0.0873248,0.0873248,0.0873248,0.0873248,0.000235004,0.000669453,0.000669453,0.000669453,0.000669453,0.042717,0.112006,0.112006,0.112006,0.112006,0.0666842,0.160446,0.160446,0.160446,0.160446,0.0666842,0.00117502,nan,0.00334726
343,0.157144,0.0875697,0.0875697,0.0875697,0.0875697,0.00022904,0.000653955,0.000653955,0.000653955,0.000653955,0.0426272,0.111776,0.111776,0.111776,0.111776,0.0667053,0.160507,0.160507,0.160507,0.160507,0.0667053,0.0011452,nan,0.00326978
344,0.15724,0.0878151,0.0878151,0.0878151,0.0878151,0.000223282,0.000638982,0.000638982,0.000638982,0.000638982,0.0425369,0.111546,0.111546,0.111546,0.111546,0.066726,0.160568,0.160568,0.160568,0.160568,0.066726,0.00111641,nan,0.00319491
345,0.157336,0.0880612,0.0880612,0.0880612,0.0880612,0.000217723,0.000624513,0.000624513,0.000624513,0.000624513,0.0424462,0.111314,0.111314,0.111314,0.111314,0.0667461,0.160627,0.160627,0.160627,0.160627,0.0667461,0.00108861,nan,0.00312256
346,0.157432,0.0883078,0.0883078,0.0883078,0.0883078,0.000212355,0.00061053,0.00061053,0.00061053,0.00061053,0.0423552,0.111082,0.111082,0.111082,0.111082,0.0667659,0.160685,0.160685,0.160685,0.160685,0.0667659,0.00106178,nan,0.00305265
347,0.157529,0.0885548,0.0885548,0.0885548,0.0885548,0.000207173,0.000597015,0.000597015,0.000597015,0.000597015,0.0422637,0.110848,0.110848,0.110848,0.110848,0.0667852,0.160742,0.160742,0.160742,0.160742,0.0667852,0.00103586,nan,0.00298508
348,0.157626,0.0888024,0.0888024,0.0888024,0.0888024,0.000202168,0.000583952,0.000583952,0.000583952,0.000583952,0.0421719,0.110614,0.110614,0.110614,0.110614,0.066804,0.160798,0.160798,0.160798,0.160798,0.066804,0.00101084,nan,0.00291976
349,0.157723,0.0890503,0.0890503,0.0890503,0.0890503,0.000197334,0.000571323,0.000571323,0.000571323,0.000571323,0.0420798,0.110378,0.110378,0.110378,0.110378,0.0668225,0.160853,0.160853,0.160853,0.160853,0.0668225,0.00098667,nan,0.00285661
350,0.15782,0.0892987,0.0892987,0.0892987,0.0892987,0.000192665,0.000559113,0.000559113,0.000559113,0.000559113,0.0419874,0.110142,0.110142,0.110142,0.110142,0.0668406,0.160906,0.160906,0.160906,0.160906,0.0668406,0.000963326,nan,0.00279557
351,0.157917,0.0895474,0.0895474,0.0895474,0.0895474,0.000188155,0.000547308,0.000547308,0.000547308,0.000547308,0.0418947,0.109905,0.109905,0.109905,0.109905,0.0668583,0.160959,0.160959,0.160959,0.160959,0.0668583,0.000940777,nan,0.00273654
352,0.158014,0.0897964,0.0897964,0.0897964,0.0897964,0.000183799,0.000535892,0.000535892,0.000535892,0.000535892,0.0418018,0.109668,0.109668,0.109668,0.109668,0.0668757,0.161011,0.161011,0.161011,0.161011,0.0668757,0.000918993,nan,0.00267946
353,0.158112,0.0900457,0.0900457,0.0900457,0.0900457,0.000179589,0.000524852,0.000524852,0.000524852,0.000524852,0.0417086,0.109429,0.109429,0.109429,0.109429,0.0668926,0.161062,0.161062,0.161062,0.161062,0.0668926,0.000897947,nan,0.00262426
354,0.158209,0.0902952,0.0902952,0.0902952,0.0902952,0.000175522,0.000514174,0.000514174,0.000514174,0.000514174,0.0416152,0.109191,0.109191,0.109191,0.109191,0.0669093,0.161112,0.161112,0.161112,0.161112,0.0669093,0.000877611,nan,0.00257087
