t,Sv0,Sg0,Sg1,Sg2,Sg3,Iv0,Ig0,Ig1,Ig2,Ig3,Rv0,Rg0,Rg1,Rg2,Rg3,cumIv0,cumIg0,cumIg1,cumIg2,cumIg3,cumIv, pIv,pIs,pIg
99,0.177579,0.176664,0.176664,0.176664,0.176664,0.00256613,0.0027944,0.0027944,0.0027944,0.0027944,0.019855,0.0205412,0.0205412,0.0205412,0.0205412,0.023837,0.0247747,0.0247747,0.0247747,0.0247747,0.023837,0.0128306,nan,0.013972
100,0.177409,0.176475,0.176475,0.176475,0.176475,0.00249545,0.00271891,0.00271891,0.00271891,0.00271891,0.0200956,0.0208062,0.0208062,0.0208062,0.0208062,0.0240616,0.0250209,0.0250209,0.0250209,0.0250209,0.0240616,0.0124773,nan,0.0135946
101,0.177246,0.176293,0.176293,0.176293,0.176293,0.00242661,0.0026452,0.0026452,0.0026452,0.0026452,0.0203274,0.0210618,0.0210618,0.0210618,0.0210618,0.02428,0.0252602,0.0252602,0.0252602,0.0252602,0.02428,0.0121331,nan,0.013226
102,0.17709,0.176119,0.176119,0.176119,0.176119,0.00235956,0.00257324,0.00257324,0.00257324,0.00257324,0.0205506,0.0213082,0.0213082,0.0213082,0.0213082,0.0244921,0.0254927,0.0254927,0.0254927,0.0254927,0.0244921,0.0117978,nan,0.0128662
103,0.17694,0.175951,0.175951,0.175951,0.175951,0.00229426,0.002503,0.002503,0.002503,0.002503,0.0207655,0.0215457,0.0215457,0.0215457,0.0215457,0.0246984,0.0257186,0.0257186,0.0257186,0.0257186,0.0246984,0.0114713,nan,0.012515
104,0.176797,0.175791,0.175791,0.175791,0.175791,0.00223065,0.00243446,0.00243446,0.00243446,0.00243446,0.0209723,0.0217744,0.0217744,0.0217744,0.0217744,0.0248987,0.0259381,0.0259381,0.0259381,0.0259381,0.0248987,0.0111533,nan,0.0121723
105,0.17666,0.175638,0.175638,0.175638,0.175638,0.00216872,0.0023676,0.0023676,0.0023676,0.0023676,0.0211713,0.0219946,0.0219946,0.0219946,0.0219946,0.0250935,0.0261514,0.0261514,0.0261514,0.0261514,0.0250935,0.0108436,nan,0.011838
106,0.176529,0.175491,0.175491,0.175491,0.175491,0.0021084,0.00230239,0.00230239,0.00230239,0.00230239,0.0213625,0.0222065,0.0222065,0.0222065,0.0222065,0.0252827,0.0263587,0.0263587,0.0263587,0.0263587,0.0252827,0.010542,nan,0.011512
107,0.176404,0.175351,0.175351,0.175351,0.175351,0.00204967,0.00223881,0.00223881,0.00223881,0.00223881,0.0215463,0.0224103,0.0224103,0.0224103,0.0224103,0.0254666,0.02656,0.02656,0.02656,0.02656,0.0254666,0.0102483,nan,0.011194
108,0.176285,0.175217,0.175217,0.175217,0.175217,0.00199248,0.00217682,0.00217682,0.00217682,0.00217682,0.0217229,0.0226063,0.0226063,0.0226063,0.0226063,0.0256452,0.0267556,0.0267556,0.0267556,0.0267556,0.0256452,0.00996242,nan,0.0108841
109,0.176171,0.175089,0.175089,0.175089,0.175089,0.00193681,0.0021164,0.0021164,0.0021164,0.0021164,0.0218924,0.0227945,0.0227945,0.0227945,0.0227945,0.0258188,0.0269457,0.0269457,0.0269457,0.0269457,0.0258188,0.00968405,nan,0.010582
110,0.176062,0.174967,0.174967,0.174967,0.174967,0.00188261,0.00205753,0.00205753,0.00205753,0.00205753,0.022055,0.0229754,0.0229754,0.0229754,0.0229754,0.0259874,0.0271303,0.0271303,0.0271303,0.0271303,0.0259874,0.00941306,nan,0.0102876
111,0.175959,0.174851,0.174851,0.174851,0.174851,0.00182985,0.00200017,0.00200017,0.00200017,0.00200017,0.022211,0.0231489,0.0231489,0.0231489,0.0231489,0.0261512,0.0273097,0.0273097,0.0273097,0.0273097,0.0261512,0.00914927,nan,0.0100008
112,0.175861,0.17474,0.17474,0.17474,0.17474,0.0017785,0.00194429,0.00194429,0.00194429,0.00194429,0.0223604,0.0233154,0.0233154,0.0233154,0.0233154,0.0263104,0.027484,0.027484,0.027484,0.027484,0.0263104,0.00889252,nan,0.00972144
113,0.175768,0.174635,0.174635,0.174635,0.174635,0.00172853,0.00188986,0.00188986,0.00188986,0.00188986,0.0225036,0.023475,0.023475,0.023475,0.023475,0.026465,0.0276532,0.0276532,0.0276532,0.0276532,0.026465,0.00864263,nan,0.00944932
114,0.17568,0.174534,0.174534,0.174534,0.174534,0.00167948,0.00183798,0.00183798,0.00183798,0.00183798,0.0226406,0.0236279,0.0236279,0.0236279,0.0236279,0.0266148,0.0278188,0.0278188,0.0278188,0.0278188,0.0266148,0.00839741,nan,0.0091899
115,0.175597,0.174436,0.174436,0.174436,0.174436,0.00163111,0.00178956,0.00178956,0.00178956,0.00178956,0.0227715,0.0237746,0.0237746,0.0237746,0.0237746,0.0267596,0.027982,0.027982,0.027982,0.027982,0.0267596,0.00815554,nan,0.00894782
116,0.17552,0.17434,0.17434,0.17434,0.17434,0.0015836,0.00174438,0.00174438,0.00174438,0.00174438,0.0228965,0.0239154,0.0239154,0.0239154,0.0239154,0.0268996,0.028143,0.028143,0.028143,0.028143,0.0268996,0.00791799,nan,0.0087219
117,0.175447,0.174247,0.174247,0.174247,0.174247,0.00153711,0.00170221,0.00170221,0.00170221,0.00170221,0.0230157,0.0240508,0.0240508,0.0240508,0.0240508,0.0270352,0.0283019,0.0283019,0.0283019,0.0283019,0.0270352,0.00768557,nan,0.00851107
118,0.175379,0.174156,0.174156,0.174156,0.174156,0.00149178,0.00166287,0.00166287,0.00166287,0.00166287,0.0231292,0.024181,0.024181,0.024181,0.024181,0.0271666,0.0284589,0.0284589,0.0284589,0.0284589,0.0271666,0.0074589,nan,0.00831435
119,0.175315,0.174067,0.174067,0.174067,0.174067,0.0014477,0.00162618,0.00162618,0.00162618,0.00162618,0.0232372,0.0243065,0.0243065,0.0243065,0.0243065,0.027294,0.028614,0.028614,0.028614,0.028614,0.027294,0.00723848,nan,0.00813088
120,0.175255,0.173981,0.173981,0.173981,0.173981,0.00140494,0.00159197,0.00159197,0.00159197,0.00159197,0.0233398,0.0244275,0.0244275,0.0244275,0.0244275,0.0274177,0.0287676,0.0287676,0.0287676,0.0287676,0.0274177,0.0070247,nan,0.00795987
121,0.175199,0.173896,0.173896,0.173896,0.173896,0.00136356,0.00156012,0.00156012,0.00156012,0.00156012,0.0234372,0.0245443,0.0245443,0.0245443,0.0245443,0.0275378,0.0289196,0.0289196,0.0289196,0.0289196,0.0275378,0.00681782,nan,0.00780061
122,0.175147,0.173812,0.173812,0.173812,0.173812,0.00132361,0.00153049,0.00153049,0.00153049,0.00153049,0.0235296,0.0246572,0.0246572,0.0246572,0.0246572,0.0276546,0.0290703,0.0290703,0.0290703,0.0290703,0.0276546,0.00661804,nan,0.00765246
123,0.175098,0.173731,0.173731,0.173731,0.173731,0.0012851,0.00150297,0.00150297,0.00150297,0.00150297,0.0236172,0.0247664,0.0247664,0.0247664,0.0247664,0.0277683,0.0292197,0.0292197,0.0292197,0.0292197,0.0277683,0.00642548,nan,0.00751485
124,0.175052,0.17365,0.17365,0.17365,0.17365,0.00124804,0.00147745,0.00147745,0.00147745,0.00147745,0.0237002,0.0248723,0.0248723,0.0248723,0.0248723,0.0278791,0.0293681,0.0293681,0.0293681,0.0293681,0.0278791,0.00624021,nan,0.00738725
125,0.175009,0.173571,0.173571,0.173571,0.173571,0.00121245,0.00145384,0.00145384,0.00145384,0.00145384,0.0237787,0.024975,0.024975,0.024975,0.024975,0.027987,0.0295155,0.0295155,0.0295155,0.0295155,0.027987,0.00606224,nan,0.0072692
126,0.174969,0.173493,0.173493,0.173493,0.173493,0.00117831,0.00143205,0.00143205,0.00143205,0.00143205,0.0238529,0.0250748,0.0250748,0.0250748,0.0250748,0.0280923,0.0296621,0.0296621,0.0296621,0.0296621,0.0280923,0.00589154,nan,0.00716027
127,0.174931,0.173416,0.173416,0.173416,0.173416,0.00114561,0.00141202,0.00141202,0.00141202,0.00141202,0.0239231,0.0251719,0.0251719,0.0251719,0.0251719,0.0281952,0.029808,0.029808,0.029808,0.029808,0.0281952,0.00572804,nan,0.00706008
128,0.174896,0.17334,0.17334,0.17334,0.17334,0.00111433,0.00139366,0.00139366,0.00139366,0.00139366,0.0239893,0.0252665,0.0252665,0.0252665,0.0252665,0.0282958,0.0299533,0.0299533,0.0299533,0.0299533,0.0282958,0.00557166,nan,0.00696829
129,0.174864,0.173264,0.173264,0.173264,0.173264,0.00108445,0.00137692,0.00137692,0.00137692,0.00137692,0.0240517,0.0253588,0.0253588,0.0253588,0.0253588,0.0283942,0.0300982,0.0300982,0.0300982,0.0300982,0.0283942,0.00542227,nan,0.00688459
130,0.174833,0.173189,0.173189,0.173189,0.173189,0.00105595,0.00136174,0.00136174,0.00136174,0.00136174,0.0241106,0.025449,0.025449,0.025449,0.025449,0.0284906,0.0302428,0.0302428,0.0302428,0.0302428,0.0284906,0.00527976,nan,0.00680871
131,0.174805,0.173115,0.173115,0.173115,0.173115,0.0010288,0.00134808,0.00134808,0.00134808,0.00134808,0.0241661,0.0255372,0.0255372,0.0255372,0.0255372,0.028585,0.0303872,0.0303872,0.0303872,0.0303872,0.028585,0.00514398,nan,0.00674042
132,0.174779,0.17304,0.17304,0.17304,0.17304,0.00100295,0.0013359,0.0013359,0.0013359,0.0013359,0.0242184,0.0256237,0.0256237,0.0256237,0.0256237,0.0286777,0.0305316,0.0305316,0.0305316,0.0305316,0.0286777,0.00501476,nan,0.00667949
133,0.174754,0.172966,0.172966,0.172966,0.172966,0.000978392,0.00132515,0.00132515,0.00132515,0.00132515,0.0242676,0.0257087,0.0257087,0.0257087,0.0257087,0.0287687,0.0306761,0.0306761,0.0306761,0.0306761,0.0287687,0.00489196,nan,0.00662575
134,0.174731,0.172892,0.172892,0.172892,0.172892,0.000955081,0.00131581,0.00131581,0.00131581,0.00131581,0.0243138,0.0257922,0.0257922,0.0257922,0.0257922,0.0288582,0.0308208,0.0308208,0.0308208,0.0308208,0.0288582,0.00477541,nan,0.00657903
135,0.17471,0.172818,0.172818,0.172818,0.172818,0.000932986,0.00130784,0.00130784,0.00130784,0.00130784,0.0243573,0.0258745,0.0258745,0.0258745,0.0258745,0.0289463,0.0309659,0.0309659,0.0309659,0.0309659,0.0289463,0.00466493,nan,0.0065392
136,0.17469,0.172743,0.172743,0.172743,0.172743,0.000912073,0.00130123,0.00130123,0.00130123,0.00130123,0.0243981,0.0259557,0.0259557,0.0259557,0.0259557,0.029033,0.0311116,0.0311116,0.0311116,0.0311116,0.029033,0.00456037,nan,0.00650616
137,0.174671,0.172668,0.172668,0.172668,0.172668,0.000892309,0.00129596,0.00129596,0.00129596,0.00129596,0.0244365,0.026036,0.026036,0.026036,0.026036,0.0291185,0.0312578,0.0312578,0.0312578,0.0312578,0.0291185,0.00446155,nan,0.0064798
138,0.174654,0.172592,0.172592,0.172592,0.172592,0.000873661,0.00129201,0.00129201,0.00129201,0.00129201,0.0244725,0.0261155,0.0261155,0.0261155,0.0261155,0.0292029,0.0314048,0.0314048,0.0314048,0.0314048,0.0292029,0.00436831,nan,0.00646006
139,0.174638,0.172516,0.172516,0.172516,0.172516,0.000856097,0.00128938,0.00128938,0.00128938,0.00128938,0.0245063,0.0261945,0.0261945,0.0261945,0.0261945,0.0292862,0.0315528,0.0315528,0.0315528,0.0315528,0.0292862,0.00428049,nan,0.00644689
140,0.174622,0.172439,0.172439,0.172439,0.172439,0.000839586,0.00128806,0.00128806,0.00128806,0.00128806,0.0245381,0.026273,0.026273,0.026273,0.026273,0.0293687,0.0317019,0.0317019,0.0317019,0.0317019,0.0293687,0.00419793,nan,0.00644028
141,0.174608,0.172361,0.172361,0.172361,0.172361,0.000824098,0.00128804,0.00128804,0.00128804,0.00128804,0.0245679,0.0263512,0.0263512,0.0263512,0.0263512,0.0294502,0.0318521,0.0318521,0.0318521,0.0318521,0.0294502,0.00412049,nan,0.00644021
142,0.174595,0.172281,0.172281,0.172281,0.172281,0.000809604,0.00128934,0.00128934,0.00128934,0.00128934,0.0245958,0.0264292,0.0264292,0.0264292,0.0264292,0.029531,0.0320038,0.0320038,0.0320038,0.0320038,0.029531,0.00404802,nan,0.0064467
143,0.174582,0.172201,0.172201,0.172201,0.172201,0.000796076,0.00129196,0.00129196,0.00129196,0.00129196,0.0246221,0.0265073,0.0265073,0.0265073,0.0265073,0.0296112,0.032157,0.032157,0.032157,0.032157,0.0296112,0.00398038,nan,0.00645979
144,0.17457,0.172119,0.172119,0.172119,0.172119,0.000783488,0.0012959,0.0012959,0.0012959,0.0012959,0.0246467,0.0265856,0.0265856,0.0265856,0.0265856,0.0296907,0.0323119,0.0323119,0.0323119,0.0323119,0.0296907,0.00391744,nan,0.00647952
145,0.174558,0.172035,0.172035,0.172035,0.172035,0.000771815,0.00130119,0.00130119,0.00130119,0.00130119,0.0246699,0.0266641,0.0266641,0.0266641,0.0266641,0.0297698,0.0324687,0.0324687,0.0324687,0.0324687,0.0297698,0.00385907,nan,0.00650597
146,0.174547,0.171949,0.171949,0.171949,0.171949,0.000761034,0.00130785,0.00130785,0.00130785,0.00130785,0.0246917,0.0267432,0.0267432,0.0267432,0.0267432,0.0298485,0.0326276,0.0326276,0.0326276,0.0326276,0.0298485,0.00380517,nan,0.00653924
147,0.174537,0.171861,0.171861,0.171861,0.171861,0.000751123,0.00131589,0.00131589,0.00131589,0.00131589,0.0247123,0.0268229,0.0268229,0.0268229,0.0268229,0.0299268,0.0327887,0.0327887,0.0327887,0.0327887,0.0299268,0.00375562,nan,0.00657944
148,0.174526,0.171771,0.171771,0.171771,0.171771,0.000742062,0.00132534,0.00132534,0.00132534,0.00132534,0.0247317,0.0269034,0.0269034,0.0269034,0.0269034,0.0300048,0.0329523,0.0329523,0.0329523,0.0329523,0.0300048,0.00371031,nan,0.00662672
149,0.174516,0.171679,0.171679,0.171679,0.171679,0.000733833,0.00133624,0.00133624,0.00133624,0.00133624,0.02475,0.0269848,0.0269848,0.0269848,0.0269848,0.0300827,0.0331184,0.0331184,0.0331184,0.0331184,0.0300827,0.00366916,nan,0.00668122
150,0.174506,0.171584,0.171584,0.171584,0.171584,0.000726417,0.00134863,0.00134863,0.00134863,0.00134863,0.0247673,0.0270674,0.0270674,0.0270674,0.0270674,0.0301605,0.0332875,0.0332875,0.0332875,0.0332875,0.0301605,0.00363209,nan,0.00674314
151,0.174496,0.171486,0.171486,0.171486,0.171486,0.000719801,0.00136253,0.00136253,0.00136253,0.00136253,0.0247838,0.0271513,0.0271513,0.0271513,0.0271513,0.0302382,0.0334595,0.0334595,0.0334595,0.0334595,0.0302382,0.00359901,nan,0.00681267
152,0.174486,0.171385,0.171385,0.171385,0.171385,0.00071397,0.00137801,0.00137801,0.00137801,0.00137801,0.0247996,0.0272367,0.0272367,0.0272367,0.0272367,0.030316,0.0336349,0.0336349,0.0336349,0.0336349,0.030316,0.00356985,nan,0.00689005
153,0.174476,0.171281,0.171281,0.171281,0.171281,0.000708913,0.0013951,0.0013951,0.0013951,0.0013951,0.0248146,0.0273237,0.0273237,0.0273237,0.0273237,0.030394,0.0338138,0.0338138,0.0338138,0.0338138,0.030394,0.00354456,nan,0.00697552
154,0.174466,0.171173,0.171173,0.171173,0.171173,0.000704618,0.00141388,0.00141388,0.00141388,0.00141388,0.0248291,0.0274126,0.0274126,0.0274126,0.0274126,0.0304722,0.0339964,0.0339964,0.0339964,0.0339964,0.0304722,0.00352309,nan,0.00706938
155,0.174456,0.171062,0.171062,0.171062,0.171062,0.000701078,0.00143439,0.00143439,0.00143439,0.00143439,0.024843,0.0275036,0.0275036,0.0275036,0.0275036,0.0305506,0.0341831,0.0341831,0.0341831,0.0341831,0.0305506,0.00350539,nan,0.00717193
156,0.174445,0.170947,0.170947,0.170947,0.170947,0.000698286,0.0014567,0.0014567,0.0014567,0.0014567,0.0248566,0.0275968,0.0275968,0.0275968,0.0275968,0.0306295,0.0343741,0.0343741,0.0343741,0.0343741,0.0306295,0.00349143,nan,0.00728351
157,0.174434,0.170827,0.170827,0.170827,0.170827,0.000696236,0.0014809,0.0014809,0.0014809,0.0014809,0.0248698,0.0276924,0.0276924,0.0276924,0.0276924,0.0307088,0.0345696,0.0345696,0.0345696,0.0345696,0.0307088,0.00348118,nan,0.00740448
158,0.174422,0.170702,0.170702,0.170702,0.170702,0.000694924,0.00150705,0.00150705,0.00150705,0.00150705,0.0248828,0.0277907,0.0277907,0.0277907,0.0277907,0.0307886,0.0347701,0.0347701,0.0347701,0.0347701,0.0307886,0.00347462,nan,0.00753525
159,0.17441,0.170573,0.170573,0.170573,0.170573,0.00069435,0.00153525,0.00153525,0.00153525,0.00153525,0.0248957,0.0278919,0.0278919,0.0278919,0.0278919,0.0308691,0.0349758,0.0349758,0.0349758,0.0349758,0.0308691,0.00347175,nan,0.00767624
160,0.174397,0.170438,0.170438,0.170438,0.170438,0.000694512,0.00156559,0.00156559,0.00156559,0.00156559,0.0249085,0.0279963,0.0279963,0.0279963,0.0279963,0.0309503,0.035187,0.035187,0.035187,0.035187,0.0309503,0.00347256,nan,0.00782794
161,0.174383,0.170298,0.170298,0.170298,0.170298,0.000695414,0.00159817,0.00159817,0.00159817,0.00159817,0.0249213,0.028104,0.028104,0.028104,0.028104,0.0310323,0.0354042,0.0354042,0.0354042,0.0354042,0.0310323,0.00347707,nan,0.00799085
162,0.174369,0.170152,0.170152,0.170152,0.170152,0.000697057,0.0016331,0.0016331,0.0016331,0.0016331,0.0249343,0.0282153,0.0282153,0.0282153,0.0282153,0.0311152,0.0356276,0.0356276,0.0356276,0.0356276,0.0311152,0.00348529,nan,0.00816551
163,0.174353,0.169999,0.169999,0.169999,0.169999,0.000699448,0.0016705,0.0016705,0.0016705,0.0016705,0.0249474,0.0283306,0.0283306,0.0283306,0.0283306,0.031199,0.0358578,0.0358578,0.0358578,0.0358578,0.031199,0.00349724,nan,0.00835252
164,0.174337,0.169839,0.169839,0.169839,0.169839,0.000702594,0.0017105,0.0017105,0.0017105,0.0017105,0.0249608,0.0284501,0.0284501,0.0284501,0.0284501,0.031284,0.036095,0.036095,0.036095,0.036095,0.031284,0.00351297,nan,0.00855251
165,0.174319,0.169673,0.169673,0.169673,0.169673,0.000706503,0.00175323,0.00175323,0.00175323,0.00175323,0.0249746,0.028574,0.028574,0.028574,0.028574,0.0313701,0.0363398,0.0363398,0.0363398,0.0363398,0.0313701,0.00353252,nan,0.00876617
166,0.1743,0.169498,0.169498,0.169498,0.169498,0.000711187,0.00179884,0.00179884,0.00179884,0.00179884,0.0249889,0.0287028,0.0287028,0.0287028,0.0287028,0.0314575,0.0365926,0.0365926,0.0365926,0.0365926,0.0314575,0.00355594,nan,0.00899422
167,0.17428,0.169316,0.169316,0.169316,0.169316,0.000716659,0.00184749,0.00184749,0.00184749,0.00184749,0.0250037,0.0288367,0.0288367,0.0288367,0.0288367,0.0315463,0.036854,0.036854,0.036854,0.036854,0.0315463,0.00358329,nan,0.00923747
168,0.174258,0.169125,0.169125,0.169125,0.169125,0.000722932,0.00189935,0.00189935,0.00189935,0.00189935,0.0250192,0.0289761,0.0289761,0.0289761,0.0289761,0.0316365,0.0371244,0.0371244,0.0371244,0.0371244,0.0316365,0.00361466,nan,0.00949674
169,0.174235,0.168924,0.168924,0.168924,0.168924,0.000730024,0.00195459,0.00195459,0.00195459,0.00195459,0.0250354,0.0291213,0.0291213,0.0291213,0.0291213,0.0317284,0.0374045,0.0374045,0.0374045,0.0374045,0.0317284,0.00365012,nan,0.00977295
170,0.17421,0.168714,0.168714,0.168714,0.168714,0.000737953,0.00201341,0.00201341,0.00201341,0.00201341,0.0250524,0.0292728,0.0292728,0.0292728,0.0292728,0.031822,0.0376948,0.0376948,0.0376948,0.0376948,0.031822,0.00368977,nan,0.0100671
171,0.174183,0.168493,0.168493,0.168493,0.168493,0.000746741,0.00207602,0.00207602,0.00207602,0.00207602,0.0250704,0.0294309,0.0294309,0.0294309,0.0294309,0.0319174,0.037996,0.037996,0.037996,0.037996,0.0319174,0.0037337,nan,0.0103801
172,0.174154,0.168261,0.168261,0.168261,0.168261,0.000756409,0.00214264,0.00214264,0.00214264,0.00214264,0.0250894,0.0295962,0.0295962,0.0295962,0.0295962,0.0320147,0.0383087,0.0383087,0.0383087,0.0383087,0.0320147,0.00378205,nan,0.0107132
173,0.174124,0.168018,0.168018,0.168018,0.168018,0.000766983,0.0022135,0.0022135,0.0022135,0.0022135,0.0251095,0.029769,0.029769,0.029769,0.029769,0.0321142,0.0386337,0.0386337,0.0386337,0.0386337,0.0321142,0.00383491,nan,0.0110675
174,0.174091,0.167761,0.167761,0.167761,0.167761,0.000778489,0.00228886,0.00228886,0.00228886,0.00228886,0.0251308,0.0299498,0.0299498,0.0299498,0.0299498,0.0322158,0.0389717,0.0389717,0.0389717,0.0389717,0.0322158,0.00389245,nan,0.0114443
175,0.174056,0.167492,0.167492,0.167492,0.167492,0.000790957,0.00236897,0.00236897,0.00236897,0.00236897,0.0251535,0.0301392,0.0301392,0.0301392,0.0301392,0.0323199,0.0393235,0.0393235,0.0393235,0.0393235,0.0323199,0.00395479,nan,0.0118449
176,0.174018,0.167208,0.167208,0.167208,0.167208,0.000804418,0.00245414,0.00245414,0.00245414,0.00245414,0.0251776,0.0303378,0.0303378,0.0303378,0.0303378,0.0324264,0.03969,0.03969,0.03969,0.03969,0.0324264,0.00402209,nan,0.0122707
177,0.173978,0.166909,0.166909,0.166909,0.166909,0.000818905,0.00254465,0.00254465,0.00254465,0.00254465,0.0252033,0.030546,0.030546,0.030546,0.030546,0.0325356,0.0400721,0.0400721,0.0400721,0.0400721,0.0325356,0.00409452,nan,0.0127233
178,0.173935,0.166595,0.166595,0.166595,0.166595,0.000834454,0.00264084,0.00264084,0.00264084,0.00264084,0.0252307,0.0307645,0.0307645,0.0307645,0.0307645,0.0326476,0.0404708,0.0404708,0.0404708,0.0404708,0.0326476,0.00417227,nan,0.0132042
179,0.173889,0.166263,0.166263,0.166263,0.166263,0.000851102,0.00274303,0.00274303,0.00274303,0.00274303,0.0252598,0.0309939,0.0309939,0.0309939,0.0309939,0.0327626,0.0408871,0.0408871,0.0408871,0.0408871,0.0327626,0.00425551,nan,0.0137152
180,0.17384,0.165913,0.165913,0.165913,0.165913,0.00086889,0.0028516,0.0028516,0.0028516,0.0028516,0.0252909,0.0312351,0.0312351,0.0312351,0.0312351,0.0328807,0.041322,0.041322,0.041322,0.041322,0.0328807,0.00434445,nan,0.014258
181,0.173788,0.165545,0.165545,0.165545,0.165545,0.000887859,0.00296692,0.00296692,0.00296692,0.00296692,0.0253241,0.0314885,0.0314885,0.0314885,0.0314885,0.0330022,0.0417768,0.0417768,0.0417768,0.0417768,0.0330022,0.00443929,nan,0.0148346
182,0.173733,0.165155,0.165155,0.165155,0.165155,0.000908053,0.00308939,0.00308939,0.00308939,0.00308939,0.0253594,0.0317552,0.0317552,0.0317552,0.0317552,0.0331271,0.0422525,0.0422525,0.0422525,0.0422525,0.0331271,0.00454026,nan,0.015447
183,0.173673,0.164745,0.164745,0.164745,0.164745,0.000929518,0.00321944,0.00321944,0.00321944,0.00321944,0.0253971,0.0320358,0.0320358,0.0320358,0.0320358,0.0332558,0.0427506,0.0427506,0.0427506,0.0427506,0.0332558,0.00464759,nan,0.0160972
184,0.17361,0.164311,0.164311,0.164311,0.164311,0.000952301,0.0033575,0.0033575,0.0033575,0.0033575,0.0254372,0.0323313,0.0323313,0.0323313,0.0323313,0.0333884,0.0432723,0.0432723,0.0432723,0.0432723,0.0333884,0.00476151,nan,0.0167875
185,0.173544,0.163853,0.163853,0.163853,0.163853,0.000976453,0.00350404,0.00350404,0.00350404,0.00350404,0.02548,0.0326426,0.0326426,0.0326426,0.0326426,0.033525,0.0438191,0.0438191,0.0438191,0.0438191,0.033525,0.00488226,nan,0.0175202
186,0.173472,0.16337,0.16337,0.16337,0.16337,0.00100202,0.00365955,0.00365955,0.00365955,0.00365955,0.0255256,0.0329706,0.0329706,0.0329706,0.0329706,0.033666,0.0443925,0.0443925,0.0443925,0.0443925,0.033666,0.00501011,nan,0.0182978
187,0.173397,0.162859,0.162859,0.162859,0.162859,0.00102906,0.00382453,0.00382453,0.00382453,0.00382453,0.0255741,0.0333163,0.0333163,0.0333163,0.0333163,0.0338116,0.044994,0.044994,0.044994,0.044994,0.0338116,0.00514532,nan,0.0191226
188,0.173317,0.16232,0.16232,0.16232,0.16232,0.00105763,0.00399949,0.00399949,0.00399949,0.00399949,0.0256257,0.033681,0.033681,0.033681,0.033681,0.0339619,0.0456254,0.0456254,0.0456254,0.0456254,0.0339619,0.00528814,nan,0.0199974
189,0.173232,0.161749,0.161749,0.161749,0.161749,0.00108777,0.00418498,0.00418498,0.00418498,0.00418498,0.0256805,0.0340656,0.0340656,0.0340656,0.0340656,0.0341172,0.0462883,0.0462883,0.0462883,0.0462883,0.0341172,0.00543885,nan,0.0209249
190,0.173142,0.161147,0.161147,0.161147,0.161147,0.00111954,0.00438154,0.00438154,0.00438154,0.00438154,0.0257389,0.0344714,0.0344714,0.0344714,0.0344714,0.0342777,0.0469846,0.0469846,0.0469846,0.0469846,0.0342777,0.00559771,nan,0.0219077
191,0.173046,0.160511,0.160511,0.160511,0.160511,0.001153,0.00458975,0.00458975,0.00458975,0.00458975,0.0258008,0.0348997,0.0348997,0.0348997,0.0348997,0.0344437,0.0477161,0.0477161,0.0477161,0.0477161,0.0344437,0.00576498,nan,0.0229487
192,0.172945,0.159838,0.159838,0.159838,0.159838,0.00118819,0.00481016,0.00481016,0.00481016,0.00481016,0.0258666,0.0353518,0.0353518,0.0353518,0.0353518,0.0346155,0.0484848,0.0484848,0.0484848,0.0484848,0.0346155,0.00594094,nan,0.0240508
193,0.172838,0.159128,0.159128,0.159128,0.159128,0.00122517,0.00504336,0.00504336,0.00504336,0.00504336,0.0259365,0.0358291,0.0358291,0.0358291,0.0358291,0.0347933,0.0492928,0.0492928,0.0492928,0.0492928,0.0347933,0.00612583,nan,0.0252168
194,0.172725,0.158377,0.158377,0.158377,0.158377,0.00126398,0.00528991,0.00528991,0.00528991,0.00528991,0.0260105,0.036333,0.036333,0.036333,0.036333,0.0349773,0.0501421,0.0501421,0.0501421,0.0501421,0.0349773,0.00631989,nan,0.0264495
195,0.172606,0.157585,0.157585,0.157585,0.157585,0.00130467,0.00555037,0.00555037,0.00555037,0.00555037,0.026089,0.0368651,0.0368651,0.0368651,0.0368651,0.0351678,0.0510349,0.0510349,0.0510349,0.0510349,0.0351678,0.00652336,nan,0.0277519
196,0.172481,0.156748,0.156748,0.156748,0.156748,0.00134728,0.00582529,0.00582529,0.00582529,0.00582529,0.0261721,0.0374269,0.0374269,0.0374269,0.0374269,0.0353652,0.0519734,0.0519734,0.0519734,0.0519734,0.0353652,0.00673642,nan,0.0291265
197,0.172348,0.155865,0.155865,0.155865,0.155865,0.00139185,0.00611519,0.00611519,0.00611519,0.00611519,0.0262601,0.0380201,0.0380201,0.0380201,0.0380201,0.0355695,0.0529599,0.0529599,0.0529599,0.0529599,0.0355695,0.00695927,nan,0.0305759
198,0.172207,0.154937,0.154937,0.154937,0.154937,0.0014396,0.00641688,0.00641688,0.00641688,0.00641688,0.0263532,0.0386462,0.0386462,0.0386462,0.0386462,0.0357824,0.0539927,0.0539927,0.0539927,0.0539927,0.0357824,0.007198,nan,0.0320844
199,0.172057,0.153967,0.153967,0.153967,0.153967,0.00149157,0.00672654,0.00672654,0.00672654,0.00672654,0.0264518,0.0393062,0.0393062,0.0393062,0.0393062,0.0360054,0.0550691,0.0550691,0.0550691,0.0550691,0.0360054,0.00745787,nan,0.0336327
