 Iv,Is,Ig
0.000746687,0.00165768,0.00259533
0.000723158,0.00160849,0.00252748
0.000700612,0.00156133,0.00246232
0.000679007,0.00151612,0.00239974
0.000658301,0.00147277,0.00233963
0.000638453,0.00143119,0.00228187
0.000619427,0.00139132,0.00222637
0.000601185,0.00135306,0.00217304
0.000583694,0.00131636,0.00212177
0.00056692,0.00128114,0.00207249
0.000550833,0.00124733,0.00202512
0.000535401,0.00121489,0.00197956
0.000520597,0.00118374,0.00193575
0.000506394,0.00115384,0.00189362
0.000492765,0.00112512,0.0018531
0.000479685,0.00109755,0.00181413
0.000467132,0.00107106,0.00177663
0.000455082,0.00104562,0.00174056
0.000443513,0.00102117,0.00170585
0.000432407,0.00099769,0.00167246
0.000421742,0.000975126,0.00164034
0.0004115,0.000953442,0.00160942
0.000401664,0.000932603,0.00157968
0.000392217,0.000912574,0.00155106
0.000383142,0.000893323,0.00152352
0.000374424,0.000874818,0.00149702
0.000366049,0.00085703,0.00147153
0.000358002,0.00083993,0.001447
0.00035027,0.000823492,0.00142341
0.00034284,0.000807688,0.00140072
0.000335701,0.000792496,0.00137889
0.00032884,0.000777891,0.0013579
0.000322247,0.000763851,0.00133772
0.000315911,0.000750355,0.00131832
0.000309822,0.000737382,0.00129968
0.000303971,0.000724914,0.00128177
0.000298348,0.000712931,0.00126456
0.000292945,0.000701416,0.00124804
0.000287753,0.000690353,0.00123217
0.000282765,0.000679725,0.00121695
0.000277973,0.000669517,0.00120235
0.00027337,0.000659715,0.00118836
0.000268948,0.000650305,0.00117495
0.000264702,0.000641273,0.0011621
0.000260626,0.000632607,0.00114981
0.000256712,0.000624296,0.00113805
0.000252956,0.000616327,0.00112682
0.000249353,0.00060869,0.00111609
0.000245896,0.000601374,0.00110586
0.000242582,0.000594369,0.00109611
0.000239405,0.000587667,0.00108683
0.000236362,0.000581259,0.00107801
0.000233447,0.000575135,0.00106963
0.000230657,0.000569287,0.00106169
0.000227988,0.000563709,0.00105418
0.000225436,0.000558392,0.00104709
0.000222998,0.000553331,0.00104041
0.000220671,0.000548517,0.00103413
0.000218451,0.000543945,0.00102825
0.000216336,0.00053961,0.00102275
0.000214322,0.000535505,0.00101763
0.000212408,0.000531625,0.00101289
0.000210589,0.000527965,0.00100851
0.000208865,0.000524521,0.0010045
0.000207232,0.000521288,0.00100084
0.000205689,0.000518261,0.000997537
0.000204233,0.000515438,0.000994582
0.000202863,0.000512814,0.000991972
0.000201577,0.000510386,0.000989702
0.000200372,0.00050815,0.000987771
0.000199248,0.000506104,0.000986174
0.000198203,0.000504245,0.000984909
0.000197236,0.00050257,0.000983974
0.000196344,0.000501077,0.000983368
0.000195528,0.000499763,0.000983088
0.000194786,0.000498628,0.000983134
0.000194116,0.000497669,0.000983504
0.000193518,0.000496884,0.000984198
0.000192991,0.000496272,0.000985216
0.000192534,0.000495833,0.000986557
0.000192146,0.000495564,0.000988222
0.000191827,0.000495465,0.000990211
0.000191577,0.000495535,0.000992527
0.000191394,0.000495775,0.000995168
0.000191278,0.000496183,0.000998138
0.000191229,0.000496759,0.00100144
0.000191247,0.000497504,0.00100507
0.00019133,0.000498417,0.00100904
0.000191481,0.000499499,0.00101334
0.000191697,0.00050075,0.00101799
0.000191979,0.000502171,0.00102298
0.000192327,0.000503763,0.00102832
0.000192742,0.000505527,0.001034
0.000193223,0.000507463,0.00104005
0.00019377,0.000509574,0.00104646
0.000194385,0.000511861,0.00105323
0.000195067,0.000514325,0.00106037
0.000195816,0.000516968,0.00106789
0.000196634,0.000519792,0.00107579
0.00019752,0.0005228,0.00108409
0.000198476,0.000525993,0.00109278
0.000199502,0.000529374,0.00110187
0.000200599,0.000532947,0.00111137
0.000201768,0.000536712,0.0011213
0.000203009,0.000540675,0.00113165
0.000204324,0.000544838,0.00114243
0.000205714,0.000549204,0.00115366
0.000207179,0.000553777,0.00116535
0.000208721,0.00055856,0.0011775
0.000210342,0.000563559,0.00119013
0.000212042,0.000568777,0.00120324
0.000213823,0.000574219,0.00121686
0.000215687,0.000579889,0.00123098
0.000217634,0.000585792,0.00124562
0.000219668,0.000591933,0.0012608
0.000221788,0.000598318,0.00127653
0.000223998,0.000604953,0.00129283
0.0002263,0.000611842,0.0013097
0.000228694,0.000618993,0.00132716
0.000231184,0.000626412,0.00134523
0.000233772,0.000634105,0.00136393
0.000236459,0.000642079,0.00138327
0.000239248,0.000650342,0.00140327
0.000242143,0.000658901,0.00142395
0.000245144,0.000667764,0.00144533
0.000248256,0.000676938,0.00146743
0.000251481,0.000686434,0.00149026
0.000254821,0.000696258,0.00151386
0.000258281,0.000706421,0.00153824
0.000261862,0.000716932,0.00156342
0.000265569,0.0007278,0.00158943
0.000269405,0.000739037,0.0016163
0.000273373,0.000750652,0.00164405
0.000277478,0.000762657,0.00167271
0.000281723,0.000775063,0.0017023
0.000286112,0.000787882,0.00173285
0.000290649,0.000801127,0.0017644
0.000295339,0.00081481,0.00179697
0.000300186,0.000828944,0.00183059
0.000305194,0.000843543,0.00186531
0.00031037,0.000858622,0.00190114
0.000315717,0.000874194,0.00193814
0.000321241,0.000890276,0.00197633
0.000326947,0.000906884,0.00201575
0.000332841,0.000924033,0.00205645
0.000338928,0.00094174,0.00209846
0.000345215,0.000960024,0.00214182
0.000351708,0.000978902,0.00218658
0.000358413,0.000998393,0.00223279
0.000365337,0.00101852,0.00228048
0.000372487,0.00103929,0.00232971
0.00037987,0.00106074,0.00238052
0.000387493,0.00108289,0.00243298
0.000395364,0.00110575,0.00248712
0.000403491,0.00112936,0.00254301
0.000411882,0.00115373,0.0026007
0.000420546,0.00117888,0.00266025
0.000429491,0.00120486,0.00272172
0.000438725,0.00123167,0.00278517
0.00044826,0.00125935,0.00285067
0.000458104,0.00128793,0.00291828
0.000468266,0.00131743,0.00298806
0.000478759,0.00134788,0.0030601
0.000489591,0.00137932,0.00313445
0.000500774,0.00141178,0.0032112
0.000512319,0.00144529,0.00329042
0.000524239,0.00147988,0.00337218
0.000536544,0.00151559,0.00345657
0.000549247,0.00155245,0.00354368
0.000562361,0.0015905,0.00363358
0.000575899,0.00162978,0.00372636
0.000589875,0.00167033,0.00382211
0.000604303,0.00171218,0.00392092
0.000619196,0.00175538,0.00402289
0.000634569,0.00179997,0.00412812
0.000650438,0.001846,0.00423669
0.000666817,0.0018935,0.00434871
0.000683724,0.00194252,0.00446428
0.000701173,0.00199311,0.0045835
0.000719183,0.00204531,0.00470649
0.000737769,0.00209918,0.00483334
0.000756949,0.00215476,0.00496418
0.000776742,0.00221211,0.0050991
0.000797165,0.00227127,0.00523823
0.000818238,0.0023323,0.00538167
0.000839978,0.00239525,0.00552954
0.000862407,0.00246017,0.00568196
0.000885542,0.00252713,0.00583905
0.000909405,0.00259617,0.00600093
0.000934017,0.00266735,0.0061677
0.000959396,0.00274074,0.0063395
0.000985565,0.00281637,0.00651644
0.00101255,0.00289433,0.00669864
0.00104036,0.00297465,0.00688622
0.00106902,0.00305741,0.0070793
0.00109857,0.00314266,0.00727798
0.00112901,0.00323045,0.00748239
0.00116036,0.00332085,0.00769263
