t,Sv0,Sg0,Sg1,Sg2,Sg3,Sg4,Sg5,Sg6,Sg7,Sg8,Sg9,Sg10,Sg11,Sg12,Sg13,Sg14,Sg15,Sg16,Sg17,Sg18,Sg19,Sg20,Sg21,Sg22,Sg23,Iv0,Ig0,Ig1,Ig2,Ig3,Ig4,Ig5,Ig6,Ig7,Ig8,Ig9,Ig10,Ig11,Ig12,Ig13,Ig14,Ig15,Ig16,Ig17,Ig18,Ig19,Ig20,Ig21,Ig22,Ig23,Rv0,Rg0,Rg1,Rg2,Rg3,Rg4,Rg5,Rg6,Rg7,Rg8,Rg9,Rg10,Rg11,Rg12,Rg13,Rg14,Rg15,Rg16,Rg17,Rg18,Rg19,Rg20,Rg21,Rg22,Rg23,cumIv0,cumIg0,cumIg1,cumIg2,cumIg3,cumIg4,cumIg5,cumIg6,cumIg7,cumIg8,cumIg9,cumIg10,cumIg11,cumIg12,cumIg13,cumIg14,cumIg15,cumIg16,cumIg17,cumIg18,cumIg19,cumIg20,cumIg21,cumIg22,cumIg23,cumIv, pIv,pIs,pIg
296,0.0290594,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,0.0131151,7.14E-05,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.000171525,0.0108692,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0267133,0.0153764,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0355283,0.0153764,0.00178467,nan,0.00428813
297,0.0290836,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,0.0131742,6.88E-05,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.000165856,0.0108476,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.0266599,0.015382,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.0355423,0.015382,0.00171992,nan,0.00414641
298,0.0291078,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,0.0132336,6.63E-05,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.000160435,0.0108258,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.026606,0.0153874,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0355559,0.0153874,0.00165807,nan,0.00401087
299,0.0291322,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,0.0132932,6.40E-05,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.000155249,0.0108038,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0265516,0.0153927,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0355691,0.0153927,0.00159899,nan,0.00388122
300,0.0291567,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,0.013353,6.17E-05,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.000150287,0.0107816,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0264967,0.0153977,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.035582,0.0153977,0.00154253,nan,0.00375718
301,0.0291813,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,0.013413,5.95E-05,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.000145539,0.0107591,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0264415,0.0154027,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0355945,0.0154027,0.00148858,nan,0.00363847
302,0.029206,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,0.0134732,5.75E-05,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.000140994,0.0107365,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0263858,0.0154074,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0356067,0.0154074,0.00143702,nan,0.00352485
303,0.0292308,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,0.0135336,5.55E-05,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.000136643,0.0107137,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.0263298,0.015412,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.0356185,0.015412,0.00138774,nan,0.00341607
304,0.0292556,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,0.0135941,5.36E-05,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.000132477,0.0106908,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0262734,0.0154165,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0356301,0.0154165,0.00134062,nan,0.00331192
305,0.0292805,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,0.0136548,5.18E-05,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.000128486,0.0106677,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0262168,0.0154209,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0356413,0.0154209,0.00129557,nan,0.00321216
306,0.0293055,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,0.0137156,5.01E-05,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.000124664,0.0106444,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0261598,0.0154251,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0356522,0.0154251,0.00125249,nan,0.00311661
307,0.0293305,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,0.0137765,4.85E-05,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.000121002,0.010621,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0261025,0.0154292,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0356629,0.0154292,0.00121129,nan,0.00302505
308,0.0293556,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,0.0138375,4.69E-05,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.000117493,0.0105975,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.026045,0.0154332,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0356733,0.0154332,0.00117188,nan,0.00293732
309,0.0293807,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,0.0138986,4.54E-05,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.000114129,0.0105739,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0259872,0.0154371,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0356835,0.0154371,0.00113417,nan,0.00285323
310,0.0294059,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,0.0139599,4.39E-05,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.000110905,0.0105502,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0259292,0.0154408,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0356934,0.0154408,0.00109808,nan,0.00277261
311,0.0294311,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,0.0140211,4.25E-05,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.000107813,0.0105263,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.025871,0.0154445,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.035703,0.0154445,0.00106355,nan,0.00269532
312,0.0294564,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,0.0140825,4.12E-05,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.000104848,0.0105024,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0258127,0.0154481,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0357125,0.0154481,0.0010305,nan,0.00262119
313,0.0294816,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,0.0141439,4.00E-05,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.000102003,0.0104784,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0257541,0.0154515,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0357217,0.0154515,0.000998851,nan,0.00255009
314,0.0295069,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,0.0142054,3.87E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,9.93E-05,0.0104543,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0256953,0.0154549,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0357307,0.0154549,0.00096855,nan,0.00248187
315,0.0295322,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,0.0142669,3.76E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,9.67E-05,0.0104302,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0256365,0.0154582,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0357395,0.0154582,0.000939531,nan,0.00241642
316,0.0295576,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,0.0143284,3.65E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,9.41E-05,0.010406,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0255774,0.0154614,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0357482,0.0154614,0.000911736,nan,0.00235361
