t,Sv0,Ss0,Sg0,Sg1,Sg2,Sg3,Sg4,Sg5,Sg6,Sg7,Sg8,Sg9,Sg10,Sg11,Sg12,Sg13,Sg14,Sg15,Sg16,Sg17,Sg18,Sg19,Sg20,Sg21,Sg22,Iv0,Is0,Ig0,Ig1,Ig2,Ig3,Ig4,Ig5,Ig6,Ig7,Ig8,Ig9,Ig10,Ig11,Ig12,Ig13,Ig14,Ig15,Ig16,Ig17,Ig18,Ig19,Ig20,Ig21,Ig22,Rv0,Rs0,Rg0,Rg1,Rg2,Rg3,Rg4,Rg5,Rg6,Rg7,Rg8,Rg9,Rg10,Rg11,Rg12,Rg13,Rg14,Rg15,Rg16,Rg17,Rg18,Rg19,Rg20,Rg21,Rg22,cumIv0,cumIs0,cumIg0,cumIg1,cumIg2,cumIg3,cumIg4,cumIg5,cumIg6,cumIg7,cumIg8,cumIg9,cumIg10,cumIg11,cumIg12,cumIg13,cumIg14,cumIg15,cumIg16,cumIg17,cumIg18,cumIg19,cumIg20,cumIg21,cumIg22,cumIv, pIv,pIs,pIg
378,0.0311178,0.0199672,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,0.0180608,1.27E-05,3.55E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,3.97E-05,0.00886956,0.0199973,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0218995,0.0154841,0.032861,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.035919,0.0154841,0.000316787,0.000886926,0.000992763
379,0.0311406,0.0200179,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,0.0181162,1.26E-05,3.53E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,3.96E-05,0.00884677,0.0199468,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0218442,0.0154855,0.032865,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0359235,0.0154855,0.000314798,0.000883138,0.000989095
380,0.0311635,0.0200685,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,0.0181715,1.25E-05,3.52E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,3.94E-05,0.00882403,0.0198963,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.021789,0.0154869,0.0328689,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.035928,0.0154869,0.000312934,0.000879673,0.000985778
381,0.0311862,0.020119,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,0.0182267,1.24E-05,3.51E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,0.00880134,0.0198459,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.021734,0.0154882,0.0328729,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0359324,0.0154882,0.000311193,0.000876526,0.000982809
382,0.0312089,0.0201693,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,0.0182817,1.24E-05,3.49E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,0.0087787,0.0197957,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0216791,0.0154896,0.0328769,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0359369,0.0154896,0.000309574,0.000873692,0.000980183
383,0.0312316,0.0202195,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,0.0183365,1.23E-05,3.48E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,0.00875613,0.0197456,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.0216244,0.015491,0.0328809,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.0359414,0.015491,0.000308072,0.000871169,0.000977897
384,0.0312541,0.0202696,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,0.0183912,1.23E-05,3.48E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,0.0087336,0.0196957,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0215698,0.0154924,0.0328848,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0359459,0.0154924,0.000306688,0.000868952,0.000975947
385,0.0312766,0.0203195,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,0.0184457,1.22E-05,3.47E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,0.00871113,0.0196458,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0215153,0.0154938,0.0328888,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0359504,0.0154938,0.000305419,0.000867038,0.000974331
386,0.0312991,0.0203693,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,0.0185001,1.22E-05,3.46E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,0.00868872,0.0195961,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.021461,0.0154951,0.0328928,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0359549,0.0154951,0.000304262,0.000865425,0.000973046
387,0.0313215,0.0204189,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,0.0185543,1.21E-05,3.46E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,0.00866636,0.0195465,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0214068,0.0154965,0.0328968,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0359594,0.0154965,0.000303218,0.00086411,0.00097209
388,0.0313438,0.0204684,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,0.0186084,1.21E-05,3.45E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,0.00864407,0.0194971,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0213527,0.0154979,0.0329008,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0359639,0.0154979,0.000302283,0.000863091,0.000971461
389,0.0313661,0.0205178,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,0.0186623,1.21E-05,3.45E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,0.00862182,0.0194477,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0212989,0.0154993,0.0329048,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0359684,0.0154993,0.000301458,0.000862365,0.000971157
390,0.0313883,0.020567,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,0.018716,1.20E-05,3.45E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,3.88E-05,0.00859964,0.0193986,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0212451,0.0155006,0.0329088,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0359729,0.0155006,0.00030074,0.000861932,0.000971177
391,0.0314105,0.020616,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,0.0187696,1.20E-05,3.45E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,0.00857751,0.0193495,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.0211915,0.015502,0.0329128,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.0359775,0.015502,0.000300129,0.000861789,0.00097152
392,0.0314326,0.0206649,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,0.0188231,1.20E-05,3.45E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,0.00855544,0.0193006,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0211381,0.0155034,0.0329168,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.035982,0.0155034,0.000299623,0.000861937,0.000972186
393,0.0314546,0.0207137,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,0.0188763,1.20E-05,3.45E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,3.89E-05,0.00853343,0.0192518,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0210848,0.0155048,0.0329209,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0359866,0.0155048,0.000299223,0.000862373,0.000973174
394,0.0314766,0.0207623,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,0.0189294,1.20E-05,3.45E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,0.00851147,0.0192031,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0210316,0.0155062,0.0329249,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0359912,0.0155062,0.000298926,0.000863098,0.000974484
395,0.0314985,0.0208108,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,0.0189823,1.19E-05,3.46E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,3.90E-05,0.00848958,0.0191546,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0209786,0.0155076,0.032929,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0359958,0.0155076,0.000298732,0.000864111,0.000976116
396,0.0315203,0.0208591,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,0.0190351,1.19E-05,3.46E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,3.91E-05,0.00846774,0.0191063,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0209258,0.0155089,0.0329331,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0360005,0.0155089,0.000298642,0.000865413,0.000978071
397,0.0315421,0.0209073,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,0.0190877,1.19E-05,3.47E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,3.92E-05,0.00844597,0.019058,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0208731,0.0155103,0.0329372,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0360051,0.0155103,0.000298653,0.000867004,0.000980351
