t,Sv0,Ss0,Sg0,Sg1,Sg2,Iv0,Is0,Ig0,Ig1,Ig2,Rv0,Rs0,Rg0,Rg1,Rg2,cumIv0,cumIs0,cumIg0,cumIg1,cumIg2,cumIv, Iv,Is,Ig
105,0.176721,0.175956,0.175705,0.175705,0.175705,0.00214899,0.0022975,0.00234585,0.00234585,0.00234585,0.0211299,0.0217464,0.0219488,0.0219488,0.0219488,0.0250311,0.025823,0.0260824,0.0260824,0.0260824,0.0250311,0.0107449,0.0114875,0.0117292
106,0.176593,0.175816,0.175561,0.175561,0.175561,0.0020885,0.00223332,0.00228045,0.00228045,0.00228045,0.021319,0.0219509,0.0221582,0.0221582,0.0221582,0.0252179,0.0260231,0.0262869,0.0262869,0.0262869,0.0252179,0.0104425,0.0111666,0.0114023
107,0.17647,0.175682,0.175424,0.175424,0.175424,0.00202962,0.00217079,0.00221671,0.00221671,0.00221671,0.0215006,0.0221475,0.0223596,0.0223596,0.0223596,0.0253992,0.0262175,0.0264856,0.0264856,0.0264856,0.0253992,0.0101481,0.0108539,0.0110836
108,0.176353,0.175554,0.175292,0.175292,0.175292,0.00197231,0.00210986,0.0021546,0.0021546,0.0021546,0.0216749,0.0223363,0.0225531,0.0225531,0.0225531,0.0255754,0.0264063,0.0266785,0.0266785,0.0266785,0.0255754,0.00986155,0.0105493,0.010773
109,0.176241,0.175432,0.175167,0.175167,0.175167,0.00191654,0.00205052,0.00209408,0.00209408,0.00209408,0.0218422,0.0225175,0.022739,0.022739,0.022739,0.0257465,0.0265897,0.0268658,0.0268658,0.0268658,0.0257465,0.0095827,0.0102526,0.0104704
110,0.176135,0.175316,0.175048,0.175048,0.175048,0.00186227,0.00199273,0.00203513,0.00203513,0.00203513,0.0220026,0.0226915,0.0229173,0.0229173,0.0229173,0.0259127,0.0267678,0.0270478,0.0270478,0.0270478,0.0259127,0.00931134,0.00996363,0.0101757
111,0.176034,0.175205,0.174934,0.174934,0.174934,0.00180946,0.00193645,0.00197772,0.00197772,0.00197772,0.0221563,0.0228583,0.0230884,0.0230884,0.0230884,0.0260741,0.0269408,0.0272245,0.0272245,0.0272245,0.0260741,0.00904729,0.00968225,0.0098886
112,0.175938,0.1751,0.174826,0.174826,0.174826,0.00175808,0.00188166,0.00192182,0.00192182,0.00192182,0.0223035,0.0230182,0.0232524,0.0232524,0.0232524,0.0262309,0.0271087,0.0273961,0.0273961,0.0273961,0.0262309,0.00879039,0.00940831,0.00960908
113,0.175847,0.175,0.174723,0.174723,0.174723,0.00170809,0.00182833,0.00186739,0.00186739,0.00186739,0.0224444,0.0231714,0.0234096,0.0234096,0.0234096,0.0263831,0.0272719,0.0275628,0.0275628,0.0275628,0.0263831,0.00854046,0.00914165,0.00933694
114,0.175762,0.174904,0.174624,0.174624,0.174624,0.00165906,0.00177754,0.0018155,0.0018155,0.0018155,0.0225792,0.0233181,0.0235601,0.0235601,0.0235601,0.0265305,0.0274314,0.0277257,0.0277257,0.0277257,0.0265305,0.00829532,0.00888769,0.0090775
115,0.175681,0.174811,0.174529,0.174529,0.174529,0.00161074,0.00173022,0.00176707,0.00176707,0.00176707,0.022708,0.0234586,0.0237043,0.0237043,0.0237043,0.026673,0.0275887,0.0278863,0.0278863,0.0278863,0.026673,0.00805368,0.00865108,0.00883534
