t,Sv0,Ss0,Sg0,Sg1,Sg2,Iv0,Is0,Ig0,Ig1,Ig2,Rv0,Rs0,Rg0,Rg1,Rg2,cumIv0,cumIs0,cumIg0,cumIg1,cumIg2,cumIv, Iv,Is,Ig
21,0.199762,0.199762,0.199762,0.199762,0.199762,0.000110943,0.000110943,0.000110943,0.000110943,0.000110943,0.000127444,0.000127444,0.000127444,0.000127444,0.000127444,0.000221067,0.000221067,0.000221067,0.000221067,0.000221067,0.000221067,0.000554717,0.000554717,0.000554717
22,0.199739,0.199739,0.199739,0.199739,0.199739,0.000120356,0.000120356,0.000120356,0.000120356,0.000120356,0.000140565,0.000140565,0.000140565,0.000140565,0.000140565,0.000243968,0.000243968,0.000243968,0.000243968,0.000243968,0.000243968,0.000601781,0.000601781,0.000601781
23,0.199715,0.199715,0.199715,0.199715,0.199715,0.000130565,0.000130565,0.000130565,0.000130565,0.000130565,0.000154793,0.000154793,0.000154793,0.000154793,0.000154793,0.000268808,0.000268808,0.000268808,0.000268808,0.000268808,0.000268808,0.000652824,0.000652824,0.000652824
24,0.199688,0.199688,0.199688,0.199688,0.199688,0.000141636,0.000141636,0.000141636,0.000141636,0.000141636,0.000170221,0.000170221,0.000170221,0.000170221,0.000170221,0.000295752,0.000295752,0.000295752,0.000295752,0.000295752,0.000295752,0.000708178,0.000708178,0.000708178
25,0.199659,0.199659,0.199659,0.199659,0.199659,0.000153641,0.000153641,0.000153641,0.000153641,0.000153641,0.00018695,0.00018695,0.00018695,0.00018695,0.00018695,0.000324976,0.000324976,0.000324976,0.000324976,0.000324976,0.000324976,0.000768204,0.000768204,0.000768204
26,0.199628,0.199628,0.199628,0.199628,0.199628,0.000166659,0.000166659,0.000166659,0.000166659,0.000166659,0.000205091,0.000205091,0.000205091,0.000205091,0.000205091,0.000356672,0.000356672,0.000356672,0.000356672,0.000356672,0.000356672,0.000833294,0.000833294,0.000833294
27,0.199594,0.199594,0.199594,0.199594,0.199594,0.000180774,0.000180774,0.000180774,0.000180774,0.000180774,0.000224763,0.000224763,0.000224763,0.000224763,0.000224763,0.000391047,0.000391047,0.000391047,0.000391047,0.000391047,0.000391047,0.00090387,0.00090387,0.00090387
28,0.199558,0.199558,0.199558,0.199558,0.199558,0.000196078,0.000196078,0.000196078,0.000196078,0.000196078,0.000246094,0.000246094,0.000246094,0.000246094,0.000246094,0.000428327,0.000428327,0.000428327,0.000428327,0.000428327,0.000428327,0.000980389,0.000980389,0.000980389
29,0.199518,0.199518,0.199518,0.199518,0.199518,0.000212669,0.000212669,0.000212669,0.000212669,0.000212669,0.000269224,0.000269224,0.000269224,0.000269224,0.000269224,0.000468754,0.000468754,0.000468754,0.000468754,0.000468754,0.000468754,0.00106335,0.00106335,0.00106335
30,0.199475,0.199475,0.199475,0.199475,0.199475,0.000230655,0.000230655,0.000230655,0.000230655,0.000230655,0.000294305,0.000294305,0.000294305,0.000294305,0.000294305,0.000512591,0.000512591,0.000512591,0.000512591,0.000512591,0.000512591,0.00115327,0.00115327,0.00115327
31,0.199428,0.199428,0.199428,0.199428,0.199428,0.000250151,0.000250151,0.000250151,0.000250151,0.000250151,0.000321499,0.000321499,0.000321499,0.000321499,0.000321499,0.000560125,0.000560125,0.000560125,0.000560125,0.000560125,0.000560125,0.00125075,0.00125075,0.00125075
32,0.199378,0.199378,0.199378,0.199378,0.199378,0.000271281,0.000271281,0.000271281,0.000271281,0.000271281,0.000350985,0.000350985,0.000350985,0.000350985,0.000350985,0.000611662,0.000611662,0.000611662,0.000611662,0.000611662,0.000611662,0.0013564,0.0013564,0.0013564
33,0.199323,0.199323,0.199323,0.199323,0.199323,0.000294181,0.000294181,0.000294181,0.000294181,0.000294181,0.000382955,0.000382955,0.000382955,0.000382955,0.000382955,0.000667536,0.000667536,0.000667536,0.000667536,0.000667536,0.000667536,0.0014709,0.0014709,0.0014709
34,0.199263,0.199263,0.199263,0.199263,0.199263,0.000318996,0.000318996,0.000318996,0.000318996,0.000318996,0.000417616,0.000417616,0.000417616,0.000417616,0.000417616,0.000728108,0.000728108,0.000728108,0.000728108,0.000728108,0.000728108,0.00159498,0.00159498,0.00159498
35,0.199199,0.199199,0.199199,0.199199,0.199199,0.000345883,0.000345883,0.000345883,0.000345883,0.000345883,0.000455193,0.000455193,0.000455193,0.000455193,0.000455193,0.000793767,0.000793767,0.000793767,0.000793767,0.000793767,0.000793767,0.00172941,0.00172941,0.00172941
36,0.199129,0.199129,0.199129,0.199129,0.199129,0.000375011,0.000375011,0.000375011,0.000375011,0.000375011,0.000495929,0.000495929,0.000495929,0.000495929,0.000495929,0.000864933,0.000864933,0.000864933,0.000864933,0.000864933,0.000864933,0.00187505,0.00187505,0.00187505
37,0.199053,0.199053,0.199053,0.199053,0.199053,0.000406563,0.000406563,0.000406563,0.000406563,0.000406563,0.000540088,0.000540088,0.000540088,0.000540088,0.000540088,0.000942062,0.000942062,0.000942062,0.000942062,0.000942062,0.000942062,0.00203281,0.00203281,0.00203281
38,0.198971,0.198971,0.198971,0.198971,0.198971,0.000440735,0.000440735,0.000440735,0.000440735,0.000440735,0.000587953,0.000587953,0.000587953,0.000587953,0.000587953,0.00102564,0.00102564,0.00102564,0.00102564,0.00102564,0.00102564,0.00220367,0.00220367,0.00220367
39,0.198882,0.198882,0.198882,0.198882,0.198882,0.000477738,0.000477738,0.000477738,0.000477738,0.000477738,0.000639832,0.000639832,0.000639832,0.000639832,0.000639832,0.00111621,0.00111621,0.00111621,0.00111621,0.00111621,0.00111621,0.00238869,0.00238869,0.00238869
40,0.198786,0.198786,0.198786,0.198786,0.198786,0.000517801,0.000517801,0.000517801,0.000517801,0.000517801,0.000696058,0.000696058,0.000696058,0.000696058,0.000696058,0.00121433,0.00121433,0.00121433,0.00121433,0.00121433,0.00121433,0.00258901,0.00258901,0.00258901
41,0.198682,0.198682,0.198682,0.198682,0.198682,0.000561168,0.000561168,0.000561168,0.000561168,0.000561168,0.000756988,0.000756988,0.000756988,0.000756988,0.000756988,0.00132061,0.00132061,0.00132061,0.00132061,0.00132061,0.00132061,0.00280584,0.00280584,0.00280584
42,0.198569,0.198569,0.198569,0.198569,0.198569,0.000608102,0.000608102,0.000608102,0.000608102,0.000608102,0.000823011,0.000823011,0.000823011,0.000823011,0.000823011,0.00143573,0.00143573,0.00143573,0.00143573,0.00143573,0.00143573,0.00304051,0.00304051,0.00304051
43,0.198447,0.198447,0.198447,0.198447,0.198447,0.000658883,0.000658883,0.000658883,0.000658883,0.000658883,0.000894544,0.000894544,0.000894544,0.000894544,0.000894544,0.0015604,0.0015604,0.0015604,0.0015604,0.0015604,0.0015604,0.00329442,0.00329442,0.00329442
44,0.198314,0.198314,0.198314,0.198314,0.198314,0.000713816,0.000713816,0.000713816,0.000713816,0.000713816,0.000972037,0.000972037,0.000972037,0.000972037,0.000972037,0.00169538,0.00169538,0.00169538,0.00169538,0.00169538,0.00169538,0.00356908,0.00356908,0.00356908
45,0.198171,0.198171,0.198171,0.198171,0.198171,0.000773222,0.000773222,0.000773222,0.000773222,0.000773222,0.00105598,0.00105598,0.00105598,0.00105598,0.00105598,0.0018415,0.0018415,0.0018415,0.0018415,0.0018415,0.0018415,0.00386611,0.00386611,0.00386611
46,0.198016,0.198016,0.198016,0.198016,0.198016,0.000837449,0.000837449,0.000837449,0.000837449,0.000837449,0.00114689,0.00114689,0.00114689,0.00114689,0.00114689,0.00199966,0.00199966,0.00199966,0.00199966,0.00199966,0.00199966,0.00418724,0.00418724,0.00418724
47,0.197848,0.197848,0.197848,0.197848,0.197848,0.000906865,0.000906865,0.000906865,0.000906865,0.000906865,0.00124533,0.00124533,0.00124533,0.00124533,0.00124533,0.00217079,0.00217079,0.00217079,0.00217079,0.00217079,0.00217079,0.00453433,0.00453433,0.00453433
48,0.197666,0.197666,0.197666,0.197666,0.197666,0.000981865,0.000981865,0.000981865,0.000981865,0.000981865,0.00135192,0.00135192,0.00135192,0.00135192,0.00135192,0.00235594,0.00235594,0.00235594,0.00235594,0.00235594,0.00235594,0.00490933,0.00490933,0.00490933
49,0.19747,0.19747,0.19747,0.19747,0.19747,0.00106287,0.00106287,0.00106287,0.00106287,0.00106287,0.0014673,0.0014673,0.0014673,0.0014673,0.0014673,0.00255618,0.00255618,0.00255618,0.00255618,0.00255618,0.00255618,0.00531435,0.00531435,0.00531435
50,0.197257,0.197257,0.197257,0.197257,0.197257,0.00115032,0.00115032,0.00115032,0.00115032,0.00115032,0.00159218,0.00159218,0.00159218,0.00159218,0.00159218,0.0027727,0.0027727,0.0027727,0.0027727,0.0027727,0.0027727,0.00575161,0.00575161,0.00575161
51,0.197028,0.197028,0.197028,0.197028,0.197028,0.0012447,0.0012447,0.0012447,0.0012447,0.0012447,0.0017273,0.0017273,0.0017273,0.0017273,0.0017273,0.00300675,0.00300675,0.00300675,0.00300675,0.00300675,0.00300675,0.0062235,0.0062235,0.0062235
52,0.19678,0.19678,0.19678,0.19678,0.19678,0.0013465,0.0013465,0.0013465,0.0013465,0.0013465,0.00187348,0.00187348,0.00187348,0.00187348,0.00187348,0.00325966,0.00325966,0.00325966,0.00325966,0.00325966,0.00325966,0.0067325,0.0067325,0.0067325
53,0.196512,0.196512,0.196512,0.196512,0.196512,0.00145625,0.00145625,0.00145625,0.00145625,0.00145625,0.00203159,0.00203159,0.00203159,0.00203159,0.00203159,0.00353286,0.00353286,0.00353286,0.00353286,0.00353286,0.00353286,0.00728127,0.00728127,0.00728127
54,0.196223,0.196223,0.196223,0.196223,0.196223,0.00157452,0.00157452,0.00157452,0.00157452,0.00157452,0.00220254,0.00220254,0.00220254,0.00220254,0.00220254,0.00382787,0.00382787,0.00382787,0.00382787,0.00382787,0.00382787,0.0078726,0.0078726,0.0078726
55,0.195911,0.195911,0.195911,0.195911,0.195911,0.00170188,0.00170188,0.00170188,0.00170188,0.00170188,0.00238733,0.00238733,0.00238733,0.00238733,0.00238733,0.00414631,0.00414631,0.00414631,0.00414631,0.00414631,0.00414631,0.00850942,0.00850942,0.00850942
56,0.195574,0.195574,0.195574,0.195574,0.195574,0.00183896,0.00183896,0.00183896,0.00183896,0.00183896,0.00258701,0.00258701,0.00258701,0.00258701,0.00258701,0.00448988,0.00448988,0.00448988,0.00448988,0.00448988,0.00448988,0.00919478,0.00919478,0.00919478
57,0.195211,0.195211,0.195211,0.195211,0.195211,0.00198638,0.00198638,0.00198638,0.00198638,0.00198638,0.00280272,0.00280272,0.00280272,0.00280272,0.00280272,0.00486039,0.00486039,0.00486039,0.00486039,0.00486039,0.00486039,0.00993191,0.00993191,0.00993191
58,0.19482,0.19482,0.19482,0.19482,0.19482,0.00214482,0.00214482,0.00214482,0.00214482,0.00214482,0.00303565,0.00303565,0.00303565,0.00303565,0.00303565,0.00525976,0.00525976,0.00525976,0.00525976,0.00525976,0.00525976,0.0107241,0.0107241,0.0107241
59,0.194398,0.194398,0.194398,0.194398,0.194398,0.00231497,0.00231497,0.00231497,0.00231497,0.00231497,0.00328709,0.00328709,0.00328709,0.00328709,0.00328709,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.0115748,0.0115748,0.0115748
60,0.193944,0.193944,0.193944,0.193944,0.193944,0.00249753,0.00249753,0.00249753,0.00249753,0.00249753,0.00355838,0.00355838,0.00355838,0.00355838,0.00355838,0.00615322,0.00615322,0.00615322,0.00615322,0.00615322,0.00615322,0.0124876,0.0124876,0.0124876
61,0.193456,0.193456,0.193456,0.193456,0.193456,0.00269322,0.00269322,0.00269322,0.00269322,0.00269322,0.00385096,0.00385096,0.00385096,0.00385096,0.00385096,0.00665164,0.00665164,0.00665164,0.00665164,0.00665164,0.00665164,0.0134661,0.0134661,0.0134661
62,0.192931,0.192931,0.192931,0.192931,0.192931,0.0029028,0.0029028,0.0029028,0.0029028,0.0029028,0.00416635,0.00416635,0.00416635,0.00416635,0.00416635,0.00718758,0.00718758,0.00718758,0.00718758,0.00718758,0.00718758,0.014514,0.014514,0.014514
63,0.192367,0.192367,0.192367,0.192367,0.192367,0.00312699,0.00312699,0.00312699,0.00312699,0.00312699,0.00450614,0.00450614,0.00450614,0.00450614,0.00450614,0.00776344,0.00776344,0.00776344,0.00776344,0.00776344,0.00776344,0.0156349,0.0156349,0.0156349
64,0.191761,0.191761,0.191761,0.191761,0.191761,0.00336654,0.00336654,0.00336654,0.00336654,0.00336654,0.00487202,0.00487202,0.00487202,0.00487202,0.00487202,0.00838171,0.00838171,0.00838171,0.00838171,0.00838171,0.00838171,0.0168327,0.0168327,0.0168327
65,0.191112,0.191112,0.191112,0.191112,0.191112,0.0036222,0.0036222,0.0036222,0.0036222,0.0036222,0.00526574,0.00526574,0.00526574,0.00526574,0.00526574,0.00904497,0.00904497,0.00904497,0.00904497,0.00904497,0.00904497,0.018111,0.018111,0.018111
66,0.190416,0.190416,0.190416,0.190416,0.190416,0.00389467,0.00389467,0.00389467,0.00389467,0.00389467,0.00568915,0.00568915,0.00568915,0.00568915,0.00568915,0.00975585,0.00975585,0.00975585,0.00975585,0.00975585,0.00975585,0.0194733,0.0194733,0.0194733
67,0.189671,0.189671,0.189671,0.189671,0.189671,0.00418464,0.00418464,0.00418464,0.00418464,0.00418464,0.00614417,0.00614417,0.00614417,0.00614417,0.00614417,0.010517,0.010517,0.010517,0.010517,0.010517,0.010517,0.0209232,0.0209232,0.0209232
